guid,tag
1832,negative
2626,positive
4493,positive
1284,neutral
4997,positive
689,negative
3294,positive
1031,positive
4606,negative
1748,positive
2673,negative
1779,negative
4447,positive
4163,negative
4172,negative
327,negative
3457,positive
1968,positive
1377,positive
4776,positive
4553,positive
894,positive
1024,positive
3761,positive
4027,positive
1177,positive
3191,negative
858,positive
1214,positive
4101,positive
3389,positive
4806,positive
433,neutral
1165,neutral
255,negative
5030,positive
82,positive
710,positive
1468,positive
4800,positive
212,positive
3080,negative
1662,neutral
3479,positive
1544,negative
4559,positive
3484,positive
2574,positive
731,negative
3512,negative
1369,positive
3931,positive
1004,positive
2833,neutral
3913,positive
3217,positive
3127,positive
3871,positive
807,positive
220,positive
4214,positive
4279,positive
3838,negative
547,positive
439,positive
4025,positive
550,negative
3583,negative
5033,positive
4640,negative
4133,positive
30,negative
4741,positive
3596,positive
3964,positive
2600,positive
2801,negative
852,positive
4788,positive
4425,neutral
2968,negative
248,negative
3051,negative
662,positive
4103,positive
1763,positive
2556,positive
4270,positive
3116,positive
4200,negative
810,positive
4053,neutral
612,positive
2628,positive
708,neutral
3763,positive
3019,positive
4510,positive
4283,positive
5053,negative
1368,positive
4427,negative
4893,positive
65,positive
4293,positive
265,positive
1553,positive
2375,neutral
4674,positive
3764,positive
2959,negative
4886,positive
3261,positive
1608,positive
2683,positive
2379,neutral
1130,positive
188,negative
1665,positive
5104,positive
4396,negative
5022,negative
1385,positive
1175,positive
1371,positive
4044,positive
2923,negative
3286,positive
4390,negative
1311,positive
229,positive
581,neutral
2784,neutral
2577,negative
604,positive
1180,neutral
3996,negative
2130,positive
66,positive
3926,positive
3796,positive
636,negative
1124,negative
3792,negative
2322,positive
1005,negative
3517,positive
4833,positive
1575,negative
3378,positive
223,positive
4159,negative
4198,negative
840,positive
3420,negative
4276,positive
4605,positive
1958,negative
2079,positive
127,positive
3059,positive
4630,neutral
1718,positive
2875,neutral
1848,positive
4747,positive
1766,positive
2149,positive
3795,negative
773,positive
1797,positive
1167,positive
3318,neutral
1835,negative
3502,positive
4145,neutral
187,positive
3899,positive
3508,negative
363,positive
4186,neutral
934,negative
3381,positive
4026,positive
438,positive
910,negative
98,positive
2707,positive
4147,neutral
3790,positive
3327,positive
1416,positive
1439,positive
3841,positive
2538,positive
1986,positive
3026,positive
734,positive
2533,positive
3856,neutral
1641,positive
3805,positive
4386,negative
2927,positive
1212,positive
1282,neutral
938,neutral
637,neutral
114,positive
1661,neutral
1108,positive
5016,positive
992,negative
2146,positive
917,positive
3356,negative
1761,negative
4664,positive
4125,negative
3394,negative
3370,negative
246,negative
3173,positive
4300,negative
4918,negative
2865,negative
67,positive
3874,positive
5059,positive
2753,positive
769,positive
1921,positive
3106,negative
4611,positive
994,neutral
3122,positive
1622,neutral
1928,negative
2922,positive
1443,negative
366,positive
3844,neutral
2845,positive
4275,positive
3317,neutral
1453,positive
1706,positive
885,positive
2966,positive
3585,negative
189,negative
102,positive
3369,positive
3469,positive
2942,positive
4446,negative
193,positive
2643,negative
3157,positive
3347,negative
3528,positive
4179,positive
1415,positive
4191,negative
2822,positive
3893,positive
356,neutral
1432,positive
4697,positive
4708,negative
4234,positive
2437,positive
4551,negative
4251,positive
3283,negative
1249,positive
2541,positive
3453,negative
1189,positive
221,positive
3246,positive
4236,positive
3137,negative
1946,negative
1518,positive
3911,positive
652,positive
4356,negative
3878,negative
107,positive
546,neutral
4668,positive
3936,positive
4593,negative
1119,positive
646,positive
159,negative
2160,positive
1956,positive
1150,positive
1614,positive
2459,neutral
2051,positive
722,positive
1298,positive
133,positive
178,positive
3441,positive
4723,positive
4629,negative
4902,negative
3104,positive
4528,positive
5085,positive
359,positive
4264,negative
2861,positive
399,positive
2763,negative
213,positive
3088,positive
2972,positive
903,positive
980,positive
57,positive
526,positive
4361,positive
3482,negative
2424,positive
165,neutral
261,positive
2944,negative
1880,positive
4874,negative
180,neutral
4803,positive
1534,negative
4688,negative
4732,positive
3154,positive
2853,positive
3754,positive
1044,neutral
4069,positive
1926,negative
2995,positive
3349,positive
3793,negative
1159,negative
933,positive
2576,positive
3428,positive
1314,positive
1341,positive
4274,negative
5050,positive
1702,positive
3182,positive
1317,positive
3029,positive
142,neutral
656,negative
3697,positive
1028,neutral
2404,negative
1742,positive
1636,positive
61,positive
2699,negative
539,negative
1378,negative
1190,positive
4299,negative
256,positive
754,positive
4649,positive
3247,negative
3265,positive
3423,positive
1092,positive
3991,positive
1625,positive
4086,neutral
4622,negative
3541,positive
1688,positive
237,positive
3285,positive
569,positive
1143,positive
1240,positive
4549,positive
3141,negative
1011,positive
2902,positive
3741,positive
3111,negative
1964,neutral
1709,positive
4415,negative
831,positive
1002,positive
4432,positive
2821,positive
3200,positive
4122,neutral
1654,positive
1624,positive
400,negative
4643,positive
2386,positive
5057,positive
2786,neutral
3740,positive
1034,positive
3735,negative
1902,negative
1666,positive
1541,positive
2326,negative
1433,positive
3716,positive
847,neutral
3086,positive
3555,negative
2692,negative
4851,negative
1590,negative
1041,positive
2899,negative
3442,positive
1396,negative
3329,neutral
2711,positive
4967,positive
4960,positive
3290,positive
4849,negative
1663,negative
4020,positive
2368,positive
4514,negative
163,positive
1,positive
4929,negative
1038,positive
3477,positive
4215,positive
53,positive
318,negative
826,negative
4680,positive
4332,negative
2075,negative
3267,neutral
3422,positive
3949,negative
3467,positive
874,negative
1456,positive
2544,positive
618,neutral
3773,negative
300,positive
4373,positive
3134,negative
111,positive
3303,positive
684,positive
871,negative
3098,positive
6,positive
3814,positive
3890,positive
2806,positive
3264,positive
2817,negative
1841,negative
2856,positive
4534,positive
3813,positive
3630,positive
4701,positive
4100,neutral
5093,positive
4854,negative
1223,positive
1948,negative
325,positive
2790,neutral
4632,negative
1555,positive
2932,positive
4318,positive
3036,positive
2710,neutral
70,positive
4538,positive
119,negative
314,positive
4302,positive
837,negative
5084,positive
4098,neutral
2814,positive
5051,positive
177,positive
2031,positive
4435,negative
2020,positive
2498,positive
4144,neutral
592,positive
1071,neutral
3867,negative
4599,neutral
1404,negative
664,negative
4880,negative
1808,neutral
1617,positive
4812,neutral
4491,positive
4023,positive
4141,neutral
1825,positive
1747,positive
813,positive
3028,positive
3653,positive
3901,negative
3269,positive
4113,neutral
4470,negative
1977,negative
2587,positive
1621,positive
1078,negative
2458,positive
905,neutral
3201,positive
1827,positive
1515,negative
717,positive
3118,positive
4574,positive
3380,neutral
4116,neutral
1577,negative
2892,positive
1722,neutral
1140,positive
2372,positive
1397,neutral
2451,negative
3522,negative
2128,negative
1330,positive
3090,negative
3770,negative
3588,positive
4750,neutral
4770,positive
2728,neutral
292,positive
381,positive
2983,negative
192,positive
1447,positive
1943,negative
673,positive
1940,negative
1840,negative
4301,negative
4346,negative
79,positive
4091,neutral
4183,negative
1784,negative
996,positive
1633,positive
4685,negative
503,positive
5100,positive
4735,positive
4540,positive
1853,neutral
2842,negative
508,positive
1138,negative
3501,negative
347,negative
993,neutral
2371,neutral
108,neutral
761,positive
4576,positive
764,positive
2595,positive
659,positive
2895,negative
3971,positive
1112,positive
551,negative
3737,positive
4406,positive
4728,positive
172,positive
512,positive
2797,positive
2567,negative
931,negative
2363,negative
1869,positive
1296,negative
2734,neutral
153,negative
579,positive
475,positive
3834,neutral
1550,positive
432,positive
3263,positive
1496,positive
3783,positive
557,positive
2694,positive
3521,positive
5106,negative
1395,positive
1673,positive
4336,positive
667,negative
1386,negative
2478,negative
4888,negative
155,neutral
4392,positive
1045,neutral
461,negative
4329,positive
175,positive
2785,positive
3203,positive

3601,positive
3432,neutral
1774,negative
642,negative
2036,positive
5012,positive
1897,positive
2547,negative
1076,positive
2953,positive
3673,neutral
4992,positive
4238,positive
2583,positive
3861,positive
3526,positive
4619,positive
2706,negative
937,negative
3307,negative
2617,negative
1593,negative
4031,positive
147,positive
519,positive
3827,negative
4017,positive
1484,positive
3672,positive
2041,positive
3930,positive
32,positive
1962,positive
5064,negative
814,positive
1777,negative
4170,negative
5109,positive
1913,negative
660,positive
4614,positive
2775,positive
3654,positive
5055,negative
3270,positive
1118,positive
3545,negative
4490,positive
3179,negative
3409,positive
203,negative
4495,positive
3255,positive
4959,positive
4595,positive
1123,negative
270,positive
4057,negative
4460,positive
669,neutral
2535,positive
1734,negative
161,positive
1754,negative
4931,positive
4389,negative
3759,positive
2168,positive
4554,positive
591,neutral
794,neutral
1927,negative
4364,negative
3942,negative
3124,negative
2908,negative
299,positive
2361,neutral
3815,positive
2969,positive
129,positive
1182,positive
1210,positive
4607,positive
5044,positive
1954,positive
4152,positive
564,positive
1601,positive
410,positive
1198,positive
2510,positive
1885,negative
1530,negative
1809,negative
3185,positive
3251,positive
3776,negative
5006,positive
3233,negative
520,positive
2664,negative
1554,positive
2369,neutral
3365,negative
4689,positive
4556,positive
1148,positive
93,negative
4362,negative
3532,positive
2074,positive
1932,negative
2917,neutral
4506,positive
167,positive
3282,positive
4850,negative
41,negative
1387,positive
2924,neutral
1329,positive
4488,negative
258,negative
2708,neutral
1872,neutral
1984,positive
3626,positive
4457,negative
3548,positive
211,neutral
1074,positive
440,positive
568,negative
1080,positive
4355,negative
563,positive
4185,negative
115,positive
4828,positive
877,negative
3458,positive
2735,positive
4627,negative
2528,negative
4120,positive
5013,positive
1215,positive
2992,neutral
2794,negative
1479,positive
4779,positive
416,positive
625,negative
1293,negative
3176,positive
3198,positive
4926,positive
1366,positive
1425,positive
3709,positive
1304,positive
2743,negative
4323,positive
1320,positive
697,negative
1849,positive
2584,negative
3416,negative
4380,negative
3363,positive
839,positive
1346,positive
3932,positive
1193,neutral
336,positive
723,negative
1299,positive
4277,positive
927,neutral
396,neutral
4213,positive
4883,positive
748,positive
350,positive
4785,positive
4011,positive
4464,negative
4403,negative
4368,negative
4794,negative
1018,positive
144,positive
3156,positive
3284,negative
1630,positive
1770,negative
801,positive
390,negative
635,positive
4615,positive
2027,positive
231,positive
4269,negative
4775,positive
1592,negative
4550,positive
1670,negative
4034,negative
441,positive
2778,positive
2994,positive
1307,negative
1773,positive
1126,positive
4224,negative
720,neutral
1694,negative
1288,negative
1137,positive
2158,negative
759,positive
394,positive
1337,positive
4070,negative
1231,positive
4013,negative
1194,positive
1351,positive
3794,neutral
3888,positive
1525,positive
3652,negative
3048,negative
1538,negative
1857,negative
1465,positive
4583,positive
3789,positive
1067,positive
1585,positive
593,negative
1122,negative
3341,positive
358,neutral
4975,positive
2874,positive
1113,positive
2524,negative
2809,negative
541,positive
3733,negative
3175,negative
4543,negative
3063,neutral
2869,neutral
3278,negative
2365,positive
925,positive
1517,negative
1328,positive
1804,positive
4218,positive
3025,positive
2729,positive
1509,neutral
341,positive
3099,positive
5126,positive
2613,positive
815,positive
3820,positive
2540,positive
2105,negative
2955,positive
422,negative
706,positive
2464,negative
5087,negative
2891,positive
4203,negative
4437,positive
4258,negative
2819,positive
3549,negative
1408,positive
1893,negative
4353,positive
4349,negative
943,negative
276,positive
2042,positive
1864,positive
1033,positive
1765,positive
4718,negative
3689,neutral
4521,positive
105,neutral
514,positive
844,positive
3784,negative
1945,negative
4237,positive
4066,negative
2389,neutral
2854,positive
3340,positive
1631,positive
2441,positive
64,negative
3066,positive
164,negative
3236,positive
3625,negative
4204,negative
4699,positive
1492,negative
2034,positive
1375,negative
3959,positive
4858,negative
338,positive
357,positive
36,positive
2333,negative
753,neutral
3171,negative
3388,positive
4282,negative
2885,negative
1010,negative
99,positive
1303,positive
2870,positive
819,negative
4412,positive
2491,positive
3894,negative
2129,negative
5041,positive
3367,positive
3027,positive
9,positive
4635,neutral
733,positive
1736,positive
926,positive
940,positive
3769,negative
3897,positive
4526,positive
4499,positive
4327,positive
304,positive
2850,positive
76,positive
616,positive
3015,neutral
4628,positive
3085,positive
4705,negative
3030,positive
423,positive
1008,positive
4006,negative
638,positive
5063,positive
3281,negative
3040,negative
2648,positive
1344,negative
4005,negative
505,neutral
4360,negative
2749,positive
3113,positive
970,positive
3868,positive
352,positive
1436,negative
3928,positive
1128,positive
4702,positive
1522,positive
4324,positive
4281,positive
342,positive
2703,negative
3463,neutral
1565,negative
5113,negative
721,positive
3486,positive
4937,positive
1372,negative
3404,positive
1394,neutral
476,positive
444,positive
4259,positive
2474,negative
3910,positive
2006,positive
2090,positive
4935,positive
4852,negative
2080,positive
3785,negative
4405,positive
1535,positive
1855,negative
4193,positive
4505,positive
4962,positive
2830,positive
587,neutral
69,negative
1277,positive
3623,positive
3108,negative
4084,neutral
4132,negative
2636,neutral
1054,positive
4003,negative
1495,positive
3807,neutral
2014,positive
2141,positive
2730,neutral
1117,negative
4475,positive
1475,positive
3557,negative
3924,negative
407,positive
343,positive
4529,positive
4078,positive
2762,neutral
3500,positive
1242,neutral
745,positive
2470,positive
2077,neutral
3142,positive
3385,positive
3953,negative
3223,negative
1348,positive
1060,negative
672,negative
3934,negative
1704,positive
4317,positive
442,negative
4192,positive
1842,positive
4793,positive
920,negative
2444,positive
2131,negative
483,neutral
898,positive
4525,negative
4079,negative
435,positive
4805,positive
1536,positive
242,positive
4004,negative
2167,negative
4722,positive
2894,positive
2765,positive
525,positive
3272,positive
4335,negative
288,positive
308,positive
4478,negative
878,positive
1350,positive
3072,neutral
1795,positive
4980,negative
879,positive
630,positive
5008,positive
3245,positive
828,neutral
979,positive
1561,negative
4841,negative
1280,positive
763,positive
3130,negative
1469,positive
5122,positive
887,positive
128,positive
3633,positive
77,positive
2867,positive
1862,neutral
2745,neutral
1499,positive
3886,positive
2311,neutral
4597,negative
3493,positive
4401,negative
1185,positive
4039,positive
1297,positive
4304,negative
1235,positive
4848,negative
1379,negative
4476,negative
2979,neutral
63,positive
492,positive
3440,positive
4653,negative
4240,positive
1152,positive
5124,negative
3073,neutral
4648,positive
3530,positive
1291,positive
3728,negative
4256,positive
3624,positive
654,positive
1202,negative
3876,positive
1082,positive
214,positive
468,positive
2667,negative
426,neutral
3455,positive
3679,positive
4,positive
1308,neutral
379,negative
2142,positive
3643,positive
1579,neutral
3721,negative
929,negative
542,negative
393,positive
4953,positive
4547,positive
1796,positive
2661,positive
1531,positive
790,positive
219,neutral
3892,negative
2799,positive
2855,positive
999,neutral
1873,negative
2938,positive
4631,positive
1022,negative
1491,positive
1992,negative
3097,positive
305,positive
3105,negative
1871,neutral
4227,positive
1759,positive
196,negative
2741,negative
4706,positive
919,negative
643,positive
3406,neutral
2043,positive
3703,neutral
4815,negative
3687,positive
1023,positive
345,negative
2985,neutral
4290,negative
1421,positive
3144,positive
1163,positive
4296,negative
1540,negative
4660,positive
3965,positive
3768,negative
137,positive
969,positive
1649,neutral
4220,positive
2772,positive
1147,negative
398,negative
1090,negative
870,neutral
3419,negative
1652,positive
851,positive
3123,negative
5105,negative
1801,positive
4180,negative
1965,positive
1881,negative
1675,positive
3669,negative
954,negative
3184,negative
1967,negative
524,positive
4656,positive
2569,positive
2782,positive
690,negative
4042,positive
131,negative
2106,positive
1753,positive
3658,positive
4652,negative
4248,positive
620,positive
1218,negative
2513,positive
4085,neutral
4873,negative
1627,negative
2548,negative
2890,negative
4882,positive
2108,positive
2624,positive
4934,positive
4073,negative
4742,positive
4520,positive
513,positive
3436,negative
3695,negative
1236,positive
3352,positive
5065,positive
2557,positive
802,negative
2531,positive
1632,positive
268,positive
1363,negative
3907,positive
4072,positive
330,neutral
486,negative
28,positive
4956,positive
1929,negative
3744,positive
1681,negative
4106,neutral
4194,negative
1015,positive
4692,positive
1892,negative
846,positive
3589,positive
1653,positive
3148,positive
2580,positive
2102,neutral
3071,positive
2502,positive
3421,positive
1562,positive
2598,positive
1909,neutral
326,positive
632,negative
56,neutral
1035,positive
5118,positive
2687,neutral
5071,neutral
3311,negative
1727,positive
4158,negative
4958,negative
700,negative
3952,negative
3043,neutral
2981,neutral
1155,positive
714,positive
4786,positive
4600,positive
4254,positive
1980,positive
742,positive
768,negative
3319,positive
3202,neutral
2321,positive
1019,positive
3212,neutral
3725,positive
135,positive
4564,positive
3074,positive
991,positive
4536,positive
3093,negative
3866,neutral
4835,positive
501,positive
3806,positive
2757,positive
2453,neutral
1094,positive
3950,negative
1257,negative
1142,negative
2886,positive
3713,positive
1487,positive
227,positive
2159,positive
2007,neutral
1272,positive
4436,positive
4007,negative
1598,positive
1850,neutral
995,positive
1591,positive
4694,positive
830,negative
52,negative
2163,negative
4341,positive
2639,negative
1542,positive
4263,positive
578,positive
4105,neutral
540,positive
2138,positive
1507,negative
2101,positive
692,positive
1274,positive
447,positive
3375,neutral
3937,positive
864,positive
741,positive
2089,positive
4978,positive
3615,neutral
3958,negative
633,negative
2905,positive
1146,positive
2497,positive
92,positive
4229,positive
2712,negative
4502,neutral
3004,positive
457,negative
3742,positive
1220,neutral
3032,positive
2359,negative
725,positive
450,negative
1322,positive
2054,neutral
586,neutral
2695,positive
3989,negative
4015,positive
3096,positive
4675,positive
2986,positive
3515,negative
1867,positive
1104,neutral
2672,negative
449,neutral
1514,negative
1676,negative
561,positive
4050,negative
862,positive
1295,positive
3729,positive
1029,positive
981,positive
548,positive
4875,positive
3068,positive
4974,negative
2656,positive
4347,negative
306,positive
5072,negative
1715,positive
418,negative
1176,positive
3237,positive
3525,positive
1947,negative
2448,neutral
966,positive
675,positive
1084,positive
1161,positive
2623,positive
976,positive
4687,negative
4634,positive
628,negative
4249,positive
584,positive
1586,positive
3211,positive
1790,positive
3132,positive
3822,positive
1402,negative
1988,positive
3692,positive
1101,positive
4142,neutral
39,neutral
884,negative
4095,neutral
3037,positive
2153,neutral
4394,negative
4222,negative
2086,positive
3976,positive
4899,positive
4612,negative
3289,positive
2591,positive
75,negative
5074,negative
1571,negative
4895,positive
1270,positive
4426,positive
1886,negative
2013,negative
502,neutral
610,positive
4503,positive
882,negative
3089,negative
4423,negative
1729,positive
1752,positive
1916,negative
2691,negative
3288,positive
4485,positive
2575,positive
3905,negative
4321,positive
2609,positive
3628,positive
3322,positive
3902,negative
4686,negative
3339,positive
1521,positive
1164,positive
574,negative
170,positive
1551,neutral
3426,negative
4548,positive
1224,positive
2060,neutral
491,positive
3860,positive
1207,positive
4581,positive
3706,positive
4727,positive
5090,positive
1007,positive
456,positive
3163,neutral
5047,positive
3133,negative
555,positive
2840,negative
5083,negative
2472,positive
1268,negative
1206,positive
1203,positive
4679,positive
3205,negative
4878,negative
3138,positive
1114,positive
1444,negative
906,negative
1843,positive
3199,positive
805,negative
3826,negative
4872,positive
2445,positive
3552,positive
3304,positive
4592,negative
425,negative
4428,negative
2067,negative
2460,positive
3980,negative
1318,positive
2615,neutral
4153,negative
240,positive
3748,positive
4513,positive
607,positive
3710,negative
4586,positive
2880,positive
1013,positive
3979,negative
1211,positive
2447,neutral
452,negative
3603,positive
4814,negative
3117,negative
470,positive
1511,neutral
1254,negative
4223,positive
1935,positive
822,positive
850,positive
5096,negative
4433,negative
972,negative
3109,positive
1583,negative
158,negative
1391,positive
3659,negative
2787,neutral
3326,positive
3607,positive
71,positive
855,positive
3366,positive
2811,positive
595,positive
2070,negative
3992,negative
3656,negative
4216,positive
3435,negative
274,positive
4230,positive
2364,positive
4598,negative
2542,positive
2345,negative
3990,positive
1679,positive
4951,positive
5099,positive
2526,negative
3608,positive
2432,positive
454,negative
3092,negative
959,negative
2666,negative
2713,neutral
2438,positive
348,negative
5029,positive
2429,negative
1557,positive
2560,positive
1095,positive
260,negative
3354,negative
3543,negative
3577,neutral
3817,positive
3009,positive
983,positive
3,positive
241,positive
3321,positive
4569,negative
273,negative
1331,negative
3393,positive
473,negative
889,positive
4744,positive
1365,negative
4836,negative
3159,neutral
2716,positive
3966,negative
2603,negative
1472,positive
